address, balance, GLTO
juno1mydhdpvyk899z7mjnhud4mjnwr96jzdsrfw5g3, 1.000000, 10946.91647
juno18drgt2925ckcud8wtrxcgscl8udmnr6wplprv0, 11.002264, 10946.91647
juno19kxfw669usn8lv3fshw24cr9vczv5lrznuh955, 1.000000, 10946.91647
juno1a9yu749xgn9l9gwkxhwsfqv47whf38ydy00tmr, 0.800000, 10946.91647
juno1enqzp9zv67jryk84v2d5fc7g6ykuzlayrr3f3g, 3.375737, 10946.91647
juno19uzrddu7jumv00mtlxkr0tgwwjp02p2nf3mkq3, 1.200000, 10946.91647
juno1tv72htvy6ehm7d2tez8ysc4lu9j3e7ya3twnvp, 1.008442, 10946.91647
juno1ktxv8mnlt6huxymlarz20jx4sd364ex2ujp2q6, 11.000000, 10946.91647
juno1p57jz2ya0j0mzwagv8qna85gqy5y0ufveamfzx, 1.805349, 10946.91647
juno1537lngyjntj5u2tpm7spj9g39dqvv6ctp7mqzt, 13.119216, 10946.91647
juno16yxp2ew943jqxlf0898ta5l7afhhxmscvsclmq, 3.033897, 10946.91647
juno1s3txxl96g4y5dap7pllvtw8v2whpfs9vs5hp27, 1.459914, 10946.91647
juno1hl8zvg27k44pl9aglkn056lrpwvc5zn39dru55, 10.047528, 10946.91647
juno1vxy4vk4ztuc6vrtecnpxj29h6lemuj9j0sasmd, 1.007804, 10946.91647
juno1tf8n4n0fqdmeqlnks3hq6wye5etg4lhq7nuvgk, 1.903064, 10946.91647
juno1wkwq8kdft3dxcpeejg7z3f4h56yn8xx5ljzcuy, 0.500000, 10946.91647
juno1679yrs8dmska7wcsawgy2m25kwucm3z0z05kvl, 1.036669, 10946.91647
juno1rmd2fggdfd4ngq56phxkqvxf28qwssr82llhr4, 4.013652, 10946.91647
juno1c8ypchv4dzlz090qh5h8jkmt6fmu4km82j4ku9, 11.012400, 10946.91647
juno12pmqqfchfhhlmvttltae4y6manugz5467hp4rt, 1.200000, 10946.91647
juno1aknd7s2dx5khgargaxylltnynrgegfptun8p3w, 1.020482, 10946.91647
juno1ajzrk4ms46wcd3u64hh2pnqwqdzwuusm9udqxe, 0.537120, 10946.91647
juno1ztdzqrhuv945xxjqa6af27shdaehzr2ry8fulm, 5.002008, 10946.91647
juno192hev660r7994mtgkurcsf5xz7yqmr6rcc6d3y, 1.000000, 10946.91647
juno1nlx4jvrxpnlk7hwtchdkzcdzfde3p0n9rhz7xa, 2.158290, 10946.91647
juno10hxgp4uzncgjxgrs2wxe70lak3rgzlpd6xav4u, 10.022085, 10946.91647
juno1npeewzxmdua48rm745lx4aj9zevlkpp96gadg5, 3.117431, 10946.91647
juno18qjdsfrf3ahc40hpvw40typ04yj8wnh5k0fhzq, 1.000000, 10946.91647
