JUNO Address	JUNO GLTO Amount	OSMO Address	OSMO GLTO Amount	GLTO Total Amount
juno1yuy39v5k8tjvztugf267946vtygsffq8zmyy4j	10,018.00			10,018.00
juno1pnyrx2jjksuuuzu03rr2hwkz5r7ecuuak2p2ae	10,017.59			10,017.59
juno1zzcudm3azydwtf3n55du8rc50tud76wx69y4sw	10,017.55			10,017.55
juno1eqz3ucr5z73gjqn5hs3xadr4x7v5t6juttypv8	10,015.86			10,015.86
juno148y8u0ejvh8psvg83rgt2w5sa6d5t5tlf8xs7t	10,015.41			10,015.41
juno14mwdpte6y9lktp4svrm8c4a5yuzhwychxj6lan	10,015.40			10,015.40
juno1j6wlqfaaxw9n3v4z4ksj54ez9wrr0k9zpa2vpg	10,015.03			10,015.03
juno1fcyx5r3sprndzr93plajx9geye7aht7yr3eqv6	10,015.00			10,015.00
juno1k0g7hacqf25ahx75x3p0dqsch73xk4mevys685	10,014.89			10,014.89
juno16kade8jpdw3ryuz2kngpkp4skqugpgycg9m85t	10,012.66	osmo16kade8jpdw3ryuz2kngpkp4skqugpgyckvtv99	2.00	10,014.66
juno1xpjg827ngjzcncygel8y553f6f5mln48mgzgtn	10,013.90			10,013.90
juno1j4d420ra809yxlw2lqzv9may7pcv67l4ez3lwf	10,013.69	osmo1j4d420ra809yxlw2lqzv9may7pcv67l48tp5l8	0.00	10,013.69
juno1mdq4lj0w3aftt9p2xzumvfcekh650zry6kzc5n	10,013.14			10,013.14
juno18xpesagqx06cv3597qhclhh5kenuru0w97kmu0	10,013.00			10,013.00
juno1tl44sz9c7l9np489wyedw0sf7l0swh6jk4gqjk	10,013.00			10,013.00
juno1hrl45z78n44nsj2lzwwltncy279mwk3nm0gwm6	10,012.67			10,012.67
juno194uclzlyl8et39ggg6gt2ndmaef5ktdauqegaj	10,012.17			10,012.17
juno12ymkguapk40dt5gx5ytu5v35wj2zskspeqxngp	10,012.12			10,012.12
juno163pzv5t3lddgzegp53jml0uepja479n3h47zlu	10,012.00			10,012.00
juno1cjzujhu429kz6vvxqqx4ve5xhjjz9jdmfhertw	10,012.00			10,012.00
juno1p6lc2mkp5vsnpnz0nteykyrtfvjl8a6ekzc4p6	10,012.00			10,012.00
juno12e5y9hsqmjn20tme24sudnzl397v3qjx83tj8j	10,011.76			10,011.76
juno1d52w5wle9670pe52vnavlva0ntvx2y7elkg8nj	10,011.23			10,011.23
juno15zv5vz9jlmf8p5yehvke00kggtygp4np3v82n5	10,001.00	osmo15zv5vz9jlmf8p5yehvke00kggtygp4np09hpz6	10.00	10,011.00
juno1ddvdmnnhj29vxyha8c9ygzpqltj9x7nhujvmg0	0.00	osmo1ddvdmnnhj29vxyha8c9ygzpqltj9x7nhzmusep	10,011.00	10,011.00
juno10fm6kym6ktjfylst0svk2kkae7rd724u7jt460	10,011.00			10,011.00
juno13mlda5p2ycudyzuy2l0n4uru3ngh6zum8qqqp5	10,011.00			10,011.00
juno166f7qetvlesa82zd85kxe77mtnem9u54w4z9mg	10,011.00			10,011.00
juno18359mjlfkp5s9ev8tw798m8xcc8lrq0ksv3a9f	10,011.00			10,011.00
juno1azl8d4w3vmxe4pv80xw2fwyphzr23kqzlrx455	10,011.00			10,011.00
juno1eeff63x97xzuzy0crushnmzru2g5anvx7tqe5s	10,011.00			10,011.00
juno1egemy4l9ykydgvk3zx76wpd2xw8j9tvpuueyl0	10,011.00			10,011.00
